"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"690","1.265978493","172.16.10.9","172.16.20.9","TCP","2962","0.002013134","5004  >  57968 [PSH, ACK] Seq=78193 Ack=1 Win=85 Len=2896 TSval=2165896249 TSecr=3655877637 [TCP segment of a reassembled PDU]"
"727","1.325541425","172.16.10.9","172.16.20.9","TCP","2962","0.001336394","5004  >  57968 [PSH, ACK] Seq=81089 Ack=1 Win=85 Len=2896 TSval=2165896320 TSecr=3655877708 [TCP segment of a reassembled PDU]"
"741","1.356629734","172.16.10.9","172.16.20.9","TCP","2962","0.003890806","5004  >  57968 [PSH, ACK] Seq=83985 Ack=1 Win=85 Len=2896 TSval=2165896357 TSecr=3655877744 [TCP segment of a reassembled PDU]"
"778","1.415971582","172.16.10.9","172.16.20.9","TCP","2962","0.000697513","5004  >  57968 [PSH, ACK] Seq=86881 Ack=1 Win=85 Len=2896 TSval=2165896416 TSecr=3655877804 [TCP segment of a reassembled PDU]"
"792","1.441664942","172.16.10.9","172.16.20.9","TCP","2962","0.001981928","5004  >  57968 [PSH, ACK] Seq=89777 Ack=1 Win=85 Len=2896 TSval=2165896448 TSecr=3655877836 [TCP segment of a reassembled PDU]"
"829","1.503231483","172.16.10.9","172.16.20.9","TCP","2962","0.001571916","5004  >  57968 [PSH, ACK] Seq=92673 Ack=1 Win=85 Len=2896 TSval=2165896507 TSecr=3655877895 [TCP segment of a reassembled PDU]"
"843","1.527301788","172.16.10.9","172.16.20.9","TCP","2962","0.002422559","5004  >  57968 [PSH, ACK] Seq=95569 Ack=1 Win=85 Len=2896 TSval=2165896532 TSecr=3655877920 [TCP segment of a reassembled PDU]"
"880","1.607163022","172.16.10.9","172.16.20.9","TCP","2962","0.002570559","5004  >  57968 [PSH, ACK] Seq=98465 Ack=1 Win=85 Len=2896 TSval=2165896594 TSecr=3655877982 [TCP segment of a reassembled PDU]"
"894","1.628732463","172.16.10.9","172.16.20.9","TCP","2962","0.001582113","5004  >  57968 [PSH, ACK] Seq=101361 Ack=1 Win=85 Len=2896 TSval=2165896618 TSecr=3655878006 [TCP segment of a reassembled PDU]"
"931","1.701610411","172.16.10.9","172.16.20.9","TCP","2962","0.001645278","5004  >  57968 [PSH, ACK] Seq=104257 Ack=1 Win=85 Len=2896 TSval=2165896699 TSecr=3655878087 [TCP segment of a reassembled PDU]"
"945","1.723652305","172.16.10.9","172.16.20.9","TCP","2962","0.000000317","5004  >  57968 [PSH, ACK] Seq=107153 Ack=1 Win=85 Len=2896 TSval=2165896722 TSecr=3655878109 [TCP segment of a reassembled PDU]"
"982","1.784425287","172.16.10.9","172.16.20.9","TCP","2962","0.001814225","5004  >  57968 [PSH, ACK] Seq=110049 Ack=1 Win=85 Len=2896 TSval=2165896792 TSecr=3655878180 [TCP segment of a reassembled PDU]"
"995","1.817933585","172.16.10.9","172.16.20.9","TCP","2962","0.001822580","5004  >  57968 [PSH, ACK] Seq=112945 Ack=1 Win=85 Len=2896 TSval=2165896822 TSecr=3655878210 [TCP segment of a reassembled PDU]"
"1033","1.877229700","172.16.10.9","172.16.20.9","TCP","2962","0.002413001","5004  >  57968 [PSH, ACK] Seq=115841 Ack=1 Win=85 Len=2896 TSval=2165896875 TSecr=3655878263 [TCP segment of a reassembled PDU]"
"1046","1.898740447","172.16.10.9","172.16.20.9","TCP","2962","0.000000218","5004  >  57968 [PSH, ACK] Seq=118737 Ack=1 Win=85 Len=2896 TSval=2165896909 TSecr=3655878297 [TCP segment of a reassembled PDU]"
"1083","1.956975058","172.16.10.9","172.16.20.9","TCP","2962","0.001541468","5004  >  57968 [PSH, ACK] Seq=121633 Ack=1 Win=85 Len=2896 TSval=2165896968 TSecr=3655878356 [TCP segment of a reassembled PDU]"
"1096","2.002833820","172.16.10.9","172.16.20.9","TCP","2962","0.001254518","5004  >  57968 [PSH, ACK] Seq=124529 Ack=1 Win=85 Len=2896 TSval=2165896993 TSecr=3655878380 [TCP segment of a reassembled PDU]"
"1134","2.108537194","172.16.10.9","172.16.20.9","TCP","2962","0.019310076","5004  >  57968 [PSH, ACK] Seq=127425 Ack=1 Win=85 Len=2896 TSval=2165897048 TSecr=3655878435 [TCP segment of a reassembled PDU]"
"1147","2.140060231","172.16.10.9","172.16.20.9","TCP","2962","0.009731291","5004  >  57968 [PSH, ACK] Seq=130321 Ack=1 Win=85 Len=2896 TSval=2165897094 TSecr=3655878481 [TCP segment of a reassembled PDU]"
"1185","2.221869560","172.16.10.9","172.16.20.9","TCP","2962","0.000000285","5004  >  57968 [PSH, ACK] Seq=133217 Ack=1 Win=85 Len=2896 TSval=2165897199 TSecr=3655878587 [TCP segment of a reassembled PDU]"
"1198","2.243200684","172.16.10.9","172.16.20.9","TCP","2962","0.001314474","5004  >  57968 [PSH, ACK] Seq=136113 Ack=1 Win=85 Len=2896 TSval=2165897231 TSecr=3655878619 [TCP segment of a reassembled PDU]"
"1232","2.305792766","172.16.10.9","172.16.20.9","TCP","2962","0.001190016","5004  >  57968 [PSH, ACK] Seq=139009 Ack=1 Win=85 Len=2896 TSval=2165897313 TSecr=3655878701 [TCP segment of a reassembled PDU]"
"1249","2.335868123","172.16.10.9","172.16.20.9","TCP","2962","0.001899344","5004  >  57968 [PSH, ACK] Seq=141905 Ack=1 Win=85 Len=2896 TSval=2165897334 TSecr=3655878722 [TCP segment of a reassembled PDU]"
"1283","2.395285053","172.16.10.9","172.16.20.9","TCP","2962","0.000609225","5004  >  57968 [PSH, ACK] Seq=144801 Ack=1 Win=85 Len=2896 TSval=2165897397 TSecr=3655878785 [TCP segment of a reassembled PDU]"
"1300","2.427791034","172.16.10.9","172.16.20.9","TCP","2962","0.001585228","5004  >  57968 [PSH, ACK] Seq=147697 Ack=1 Win=85 Len=2896 TSval=2165897431 TSecr=3655878819 [TCP segment of a reassembled PDU]"
"1334","2.494487953","172.16.10.9","172.16.20.9","TCP","2962","0.001215377","5004  >  57968 [PSH, ACK] Seq=150593 Ack=1 Win=85 Len=2896 TSval=2165897486 TSecr=3655878874 [TCP segment of a reassembled PDU]"
"1351","2.521951114","172.16.10.9","172.16.20.9","TCP","2962","0.001351400","5004  >  57968 [PSH, ACK] Seq=153489 Ack=1 Win=85 Len=2896 TSval=2165897520 TSecr=3655878908 [TCP segment of a reassembled PDU]"
"1385","2.598346436","172.16.10.9","172.16.20.9","TCP","2962","0.001544358","5004  >  57968 [PSH, ACK] Seq=156385 Ack=1 Win=85 Len=2896 TSval=2165897585 TSecr=3655878973 [TCP segment of a reassembled PDU]"
"1402","2.626472514","172.16.10.9","172.16.20.9","TCP","2962","0.002020395","5004  >  57968 [PSH, ACK] Seq=159281 Ack=1 Win=85 Len=2896 TSval=2165897613 TSecr=3655879001 [TCP segment of a reassembled PDU]"
"1436","2.694107035","172.16.10.9","172.16.20.9","TCP","2962","0.000000262","5004  >  57968 [PSH, ACK] Seq=162177 Ack=1 Win=85 Len=2896 TSval=2165897689 TSecr=3655879077 [TCP segment of a reassembled PDU]"
"1453","2.725218175","172.16.10.9","172.16.20.9","TCP","2962","0.001279680","5004  >  57968 [PSH, ACK] Seq=165073 Ack=1 Win=85 Len=2896 TSval=2165897717 TSecr=3655879105 [TCP segment of a reassembled PDU]"
"1485","2.779511060","172.16.10.9","172.16.20.9","TCP","2962","0.001433779","5004  >  57968 [PSH, ACK] Seq=167969 Ack=1 Win=85 Len=2896 TSval=2165897785 TSecr=3655879173 [TCP segment of a reassembled PDU]"
"1504","2.859389219","172.16.10.9","172.16.20.9","TCP","2962","0.000000325","5004  >  57968 [PSH, ACK] Seq=170865 Ack=1 Win=85 Len=2896 TSval=2165897816 TSecr=3655879204 [TCP segment of a reassembled PDU]"
"1536","2.915253237","172.16.10.9","172.16.20.9","TCP","2962","0.002985524","5004  >  57968 [PSH, ACK] Seq=173761 Ack=1 Win=85 Len=2896 TSval=2165897870 TSecr=3655879258 [TCP segment of a reassembled PDU]"
"1554","2.942653530","172.16.10.9","172.16.20.9","TCP","2962","0.000075170","5004  >  57968 [PSH, ACK] Seq=176657 Ack=1 Win=85 Len=2896 TSval=2165897951 TSecr=3655879339 [TCP segment of a reassembled PDU]"
"1587","2.998699177","172.16.10.9","172.16.20.9","TCP","2962","0.001445983","5004  >  57968 [PSH, ACK] Seq=179553 Ack=1 Win=85 Len=2896 TSval=2165898006 TSecr=3655879394 [TCP segment of a reassembled PDU]"
"1605","3.031332841","172.16.10.9","172.16.20.9","TCP","2962","0.000000312","5004  >  57968 [PSH, ACK] Seq=182449 Ack=1 Win=85 Len=2896 TSval=2165898034 TSecr=3655879422 [TCP segment of a reassembled PDU]"
"1638","3.094361299","172.16.10.9","172.16.20.9","TCP","2962","0.002002898","5004  >  57968 [PSH, ACK] Seq=185345 Ack=1 Win=85 Len=2896 TSval=2165898089 TSecr=3655879477 [TCP segment of a reassembled PDU]"
"1655","3.127062060","172.16.10.9","172.16.20.9","TCP","2962","0.000318918","5004  >  57968 [PSH, ACK] Seq=188241 Ack=1 Win=85 Len=2896 TSval=2165898122 TSecr=3655879510 [TCP segment of a reassembled PDU]"
"1688","3.200674911","172.16.10.9","172.16.20.9","TCP","2962","0.002256222","5004  >  57968 [PSH, ACK] Seq=191137 Ack=1 Win=85 Len=2896 TSval=2165898185 TSecr=3655879573 [TCP segment of a reassembled PDU]"
"1705","3.230595045","172.16.10.9","172.16.20.9","TCP","2962","0.001411375","5004  >  57968 [PSH, ACK] Seq=194033 Ack=1 Win=85 Len=2896 TSval=2165898218 TSecr=3655879606 [TCP segment of a reassembled PDU]"
"1737","3.352732270","172.16.10.9","172.16.20.9","TCP","2962","0.001240134","5004  >  57968 [PSH, ACK] Seq=196929 Ack=1 Win=85 Len=2896 TSval=2165898291 TSecr=3655879679 [TCP segment of a reassembled PDU]"
"1755","3.392560236","172.16.10.9","172.16.20.9","TCP","2962","0.001247753","5004  >  57968 [PSH, ACK] Seq=199825 Ack=1 Win=85 Len=2896 TSval=2165898321 TSecr=3655879709 [TCP segment of a reassembled PDU]"
"1788","3.443814327","172.16.10.9","172.16.20.9","TCP","2962","0.001234203","5004  >  57968 [PSH, ACK] Seq=202721 Ack=1 Win=85 Len=2896 TSval=2165898444 TSecr=3655879832 [TCP segment of a reassembled PDU]"
"1806","3.473226835","172.16.10.9","172.16.20.9","TCP","2962","0.001602409","5004  >  57968 [PSH, ACK] Seq=205617 Ack=1 Win=85 Len=2896 TSval=2165898483 TSecr=3655879871 [TCP segment of a reassembled PDU]"
"1839","3.527844751","172.16.10.9","172.16.20.9","TCP","2962","0.001812379","5004  >  57968 [PSH, ACK] Seq=208513 Ack=1 Win=85 Len=2896 TSval=2165898534 TSecr=3655879922 [TCP segment of a reassembled PDU]"
"1857","3.559523490","172.16.10.9","172.16.20.9","TCP","2962","0.000806992","5004  >  57968 [PSH, ACK] Seq=211409 Ack=1 Win=85 Len=2896 TSval=2165898564 TSecr=3655879952 [TCP segment of a reassembled PDU]"
"1890","3.621401962","172.16.10.9","172.16.20.9","TCP","2962","0.004991856","5004  >  57968 [PSH, ACK] Seq=214305 Ack=1 Win=85 Len=2896 TSval=2165898618 TSecr=3655880006 [TCP segment of a reassembled PDU]"
