"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"65","1.240557633","172.16.20.1","172.16.20.9","TCP","1378","0.007342258","5004  >  36330 [PSH, ACK] Seq=197324 Ack=1 Win=85 Len=1312 TSval=2121620555 TSecr=3180717274"
"67","1.242212583","172.16.20.1","172.16.20.9","TCP","1514","0.001620871","5004  >  36330 [ACK] Seq=198636 Ack=1 Win=85 Len=1448 TSval=2121620556 TSecr=3180717424"
"69","1.244352830","172.16.20.1","172.16.20.9","TCP","1015","0.002115147","5004  >  36330 [PSH, ACK] Seq=200084 Ack=1 Win=85 Len=949 TSval=2121620563 TSecr=3180717431"
"71","1.278259631","172.16.20.1","172.16.20.9","TCP","6454","0.033891359","5004  >  36330 [PSH, ACK] Seq=201033 Ack=1 Win=85 Len=6388 TSval=2121620601 TSecr=3180717435"
"73","1.490246112","172.16.20.1","172.16.20.9","TCP","4888","0.211971390","5004  >  36330 [PSH, ACK] Seq=207421 Ack=1 Win=85 Len=4822 TSval=2121620813 TSecr=3180717469"
"75","1.497803908","172.16.20.1","172.16.20.9","TCP","7040","0.007541980","5004  >  36330 [PSH, ACK] Seq=212243 Ack=1 Win=85 Len=6974 TSval=2121620813 TSecr=3180717681"
"77","1.560535995","172.16.20.1","172.16.20.9","TCP","5373","0.062705512","5004  >  36330 [PSH, ACK] Seq=219217 Ack=1 Win=85 Len=5307 TSval=2121620883 TSecr=3180717688"
"79","1.564958534","172.16.20.1","172.16.20.9","TCP","769","0.004407605","5004  >  36330 [PSH, ACK] Seq=224524 Ack=1 Win=85 Len=703 TSval=2121620886 TSecr=3180717751"
"81","1.745714051","172.16.20.1","172.16.20.9","TCP","10066","0.180721283","5004  >  36330 [PSH, ACK] Seq=225227 Ack=1 Win=85 Len=10000 TSval=2121621068 TSecr=3180717755"
"83","1.754853428","172.16.20.1","172.16.20.9","TCP","2626","0.009123216","5004  >  36330 [PSH, ACK] Seq=235227 Ack=1 Win=85 Len=2560 TSval=2121621068 TSecr=3180717936"
"85","1.791212987","172.16.20.1","172.16.20.9","TCP","5433","0.036338436","5004  >  36330 [PSH, ACK] Seq=237787 Ack=1 Win=85 Len=5367 TSval=2121621114 TSecr=3180717945"
"87","1.796042947","172.16.20.1","172.16.20.9","TCP","1211","0.004812008","5004  >  36330 [PSH, ACK] Seq=243154 Ack=1 Win=85 Len=1145 TSval=2121621114 TSecr=3180717982"
"89","2.001009835","172.16.20.1","172.16.20.9","TCP","7306","0.204943827","5004  >  36330 [PSH, ACK] Seq=244299 Ack=1 Win=85 Len=7240 TSval=2121621323 TSecr=3180717987"
"91","2.007078720","172.16.20.1","172.16.20.9","TCP","869","0.006051864","5004  >  36330 [PSH, ACK] Seq=251539 Ack=1 Win=85 Len=803 TSval=2121621323 TSecr=3180717987"
"93","2.065250085","172.16.20.1","172.16.20.9","TCP","10066","0.058147369","5004  >  36330 [PSH, ACK] Seq=252342 Ack=1 Win=85 Len=10000 TSval=2121621388 TSecr=3180718198"
"95","2.074383476","172.16.20.1","172.16.20.9","TCP","7622","0.009117450","5004  >  36330 [PSH, ACK] Seq=262342 Ack=1 Win=85 Len=7556 TSval=2121621388 TSecr=3180718256"
"97","2.241733330","172.16.20.1","172.16.20.9","TCP","10066","0.167323151","5004  >  36330 [PSH, ACK] Seq=269898 Ack=1 Win=85 Len=10000 TSval=2121621564 TSecr=3180718265"
"99","2.250750103","172.16.20.1","172.16.20.9","TCP","7582","0.008998877","5004  >  36330 [PSH, ACK] Seq=279898 Ack=1 Win=85 Len=7516 TSval=2121621565 TSecr=3180718432"
"101","2.291877790","172.16.20.1","172.16.20.9","TCP","1282","0.041082412","5004  >  36330 [PSH, ACK] Seq=287414 Ack=1 Win=85 Len=1216 TSval=2121621614 TSecr=3180718441"
"103","2.496976447","172.16.20.1","172.16.20.9","TCP","5988","0.205083766","5004  >  36330 [PSH, ACK] Seq=288630 Ack=1 Win=85 Len=5922 TSval=2121621819 TSecr=3180718482"
"105","2.503356862","172.16.20.1","172.16.20.9","TCP","7774","0.006365063","5004  >  36330 [PSH, ACK] Seq=294552 Ack=1 Win=85 Len=7708 TSval=2121621820 TSecr=3180718687"
"107","2.565565045","172.16.20.1","172.16.20.9","TCP","866","0.062164688","5004  >  36330 [PSH, ACK] Seq=302260 Ack=1 Win=85 Len=800 TSval=2121621888 TSecr=3180718694"
"111","2.628711491","172.16.20.1","172.16.20.9","TCP","7681","0.059974194","5004  >  36330 [PSH, ACK] Seq=303060 Ack=1 Win=85 Len=7615 TSval=2121621951 TSecr=3180718756"
"113","2.735062159","172.16.20.1","172.16.20.9","TCP","8754","0.106329988","5004  >  36330 [PSH, ACK] Seq=310675 Ack=1 Win=85 Len=8688 TSval=2121622058 TSecr=3180718819"
