"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"15512","28.710981069","172.16.20.1","172.16.20.9","TCP","2962","0.003013169","5004  >  54680 [PSH, ACK] Seq=1779593 Ack=1 Win=85 Len=2896 TSval=2122199620 TSecr=3181296488"
"15560","28.799703588","172.16.20.1","172.16.20.9","TCP","2962","0.001699748","5004  >  54680 [PSH, ACK] Seq=1782489 Ack=1 Win=85 Len=2896 TSval=2122199722 TSecr=3181296590"
"15563","28.804237737","172.16.20.1","172.16.20.9","TCP","2962","0.001626768","5004  >  54680 [PSH, ACK] Seq=1785385 Ack=1 Win=85 Len=2896 TSval=2122199725 TSecr=3181296590"
"15611","28.901174307","172.16.20.1","172.16.20.9","TCP","2962","0.000812659","5004  >  54680 [PSH, ACK] Seq=1788281 Ack=1 Win=85 Len=2896 TSval=2122199814 TSecr=3181296681"
"15614","28.905901705","172.16.20.1","172.16.20.9","TCP","2962","0.000000507","5004  >  54680 [PSH, ACK] Seq=1791177 Ack=1 Win=85 Len=2896 TSval=2122199818 TSecr=3181296686"
"15662","28.996193350","172.16.20.1","172.16.20.9","TCP","2962","0.000536804","5004  >  54680 [PSH, ACK] Seq=1794073 Ack=1 Win=85 Len=2896 TSval=2122199915 TSecr=3181296783"
"15664","29.000110230","172.16.20.1","172.16.20.9","TCP","2962","0.003847972","5004  >  54680 [PSH, ACK] Seq=1796969 Ack=1 Win=85 Len=2896 TSval=2122199920 TSecr=3181296788"
"15713","29.097968560","172.16.20.1","172.16.20.9","TCP","2962","0.002079934","5004  >  54680 [PSH, ACK] Seq=1799865 Ack=1 Win=85 Len=2896 TSval=2122200010 TSecr=3181296878"
"15715","29.100488908","172.16.20.1","172.16.20.9","TCP","2962","0.002498701","5004  >  54680 [PSH, ACK] Seq=1802761 Ack=1 Win=85 Len=2896 TSval=2122200014 TSecr=3181296882"
"15764","29.186087532","172.16.20.1","172.16.20.9","TCP","2962","0.009027111","5004  >  54680 [PSH, ACK] Seq=1805657 Ack=1 Win=85 Len=2896 TSval=2122200112 TSecr=3181296980"
"15766","29.188701840","172.16.20.1","172.16.20.9","TCP","2962","0.002268106","5004  >  54680 [PSH, ACK] Seq=1808553 Ack=1 Win=85 Len=2896 TSval=2122200114 TSecr=3181296982"
"15815","29.274200483","172.16.20.1","172.16.20.9","TCP","2962","0.000000298","5004  >  54680 [PSH, ACK] Seq=1811449 Ack=1 Win=85 Len=2896 TSval=2122200200 TSecr=3181297068"
"15817","29.277513043","172.16.20.1","172.16.20.9","TCP","2962","0.003261767","5004  >  54680 [PSH, ACK] Seq=1814345 Ack=1 Win=85 Len=2896 TSval=2122200203 TSecr=3181297070"
"15865","29.375050928","172.16.20.1","172.16.20.9","TCP","2962","0.001671832","5004  >  54680 [PSH, ACK] Seq=1817241 Ack=1 Win=85 Len=2896 TSval=2122200288 TSecr=3181297156"
"15868","29.380281009","172.16.20.1","172.16.20.9","TCP","2962","0.001064177","5004  >  54680 [PSH, ACK] Seq=1820137 Ack=1 Win=85 Len=2896 TSval=2122200291 TSecr=3181297159"
"15916","29.487687618","172.16.20.1","172.16.20.9","TCP","2962","0.000000295","5004  >  54680 [PSH, ACK] Seq=1823033 Ack=1 Win=85 Len=2896 TSval=2122200389 TSecr=3181297257"
"15919","29.492433161","172.16.20.1","172.16.20.9","TCP","2962","0.001448448","5004  >  54680 [PSH, ACK] Seq=1825929 Ack=1 Win=85 Len=2896 TSval=2122200394 TSecr=3181297262"
"15966","29.586578664","172.16.20.1","172.16.20.9","TCP","2962","0.001578949","5004  >  54680 [PSH, ACK] Seq=1828825 Ack=1 Win=85 Len=2896 TSval=2122200502 TSecr=3181297370"
"15970","29.594955219","172.16.20.1","172.16.20.9","TCP","2962","0.004014994","5004  >  54680 [PSH, ACK] Seq=1831721 Ack=1 Win=85 Len=2896 TSval=2122200506 TSecr=3181297374"
"16017","29.681669848","172.16.20.1","172.16.20.9","TCP","2962","0.000000574","5004  >  54680 [PSH, ACK] Seq=1834617 Ack=1 Win=85 Len=2896 TSval=2122200601 TSecr=3181297468"
"16021","29.687775745","172.16.20.1","172.16.20.9","TCP","1514","0.000496987","5004  >  54680 [ACK] Seq=1837513 Ack=1 Win=85 Len=1448 TSval=2122200609 TSecr=3181297477"
"16022","29.689402513","172.16.20.1","172.16.20.9","TCP","2962","0.001626768","5004  >  54680 [PSH, ACK] Seq=1838961 Ack=1 Win=85 Len=2896 TSval=2122200609 TSecr=3181297477"
"16067","29.772006452","172.16.20.1","172.16.20.9","TCP","2962","0.000853887","5004  >  54680 [PSH, ACK] Seq=1841857 Ack=1 Win=85 Len=2896 TSval=2122200696 TSecr=3181297563"
"16072","29.779478865","172.16.20.1","172.16.20.9","TCP","2962","0.001115228","5004  >  54680 [PSH, ACK] Seq=1844753 Ack=1 Win=85 Len=2896 TSval=2122200703 TSecr=3181297571"
"16118","29.891408864","172.16.20.1","172.16.20.9","TCP","2962","0.001537095","5004  >  54680 [PSH, ACK] Seq=1847649 Ack=1 Win=85 Len=2896 TSval=2122200786 TSecr=3181297654"
"16123","29.898996927","172.16.20.1","172.16.20.9","TCP","2962","0.001576406","5004  >  54680 [PSH, ACK] Seq=1850545 Ack=1 Win=85 Len=2896 TSval=2122200793 TSecr=3181297661"
"16169","29.981716935","172.16.20.1","172.16.20.9","TCP","2962","0.001973136","5004  >  54680 [PSH, ACK] Seq=1853441 Ack=1 Win=85 Len=2896 TSval=2122200905 TSecr=3181297773"
"16174","29.988735617","172.16.20.1","172.16.20.9","TCP","2962","0.001377109","5004  >  54680 [PSH, ACK] Seq=1856337 Ack=1 Win=85 Len=2896 TSval=2122200913 TSecr=3181297781"
"16220","30.063764841","172.16.20.1","172.16.20.9","TCP","2962","0.001236195","5004  >  54680 [PSH, ACK] Seq=1859233 Ack=1 Win=85 Len=2896 TSval=2122200996 TSecr=3181297863"
"16225","30.071430803","172.16.20.1","172.16.20.9","TCP","2962","0.001405605","5004  >  54680 [PSH, ACK] Seq=1862129 Ack=1 Win=85 Len=2896 TSval=2122201003 TSecr=3181297870"
"16271","30.151447958","172.16.20.1","172.16.20.9","TCP","2962","0.002063321","5004  >  54680 [PSH, ACK] Seq=1865025 Ack=1 Win=85 Len=2896 TSval=2122201078 TSecr=3181297946"
"16276","30.158515262","172.16.20.1","172.16.20.9","TCP","2962","0.000000370","5004  >  54680 [PSH, ACK] Seq=1867921 Ack=1 Win=85 Len=2896 TSval=2122201085 TSecr=3181297953"
"16322","30.277591651","172.16.20.1","172.16.20.9","TCP","2962","0.002113098","5004  >  54680 [PSH, ACK] Seq=1870817 Ack=1 Win=85 Len=2896 TSval=2122201166 TSecr=3181298033"
"16325","30.282403998","172.16.20.1","172.16.20.9","TCP","2962","0.001428861","5004  >  54680 [PSH, ACK] Seq=1873713 Ack=1 Win=85 Len=2896 TSval=2122201173 TSecr=3181298040"
"16373","30.374227818","172.16.20.1","172.16.20.9","TCP","2962","0.001568083","5004  >  54680 [PSH, ACK] Seq=1876609 Ack=1 Win=85 Len=2896 TSval=2122201291 TSecr=3181298159"
"16375","30.377761559","172.16.20.1","172.16.20.9","TCP","2962","0.003511796","5004  >  54680 [PSH, ACK] Seq=1879505 Ack=1 Win=85 Len=2896 TSval=2122201296 TSecr=3181298164"
