Connecting to host 172.16.30.9, port 5202
[  5] local 172.16.20.9 port 44146 connected to 172.16.30.9 port 5202
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  44.00-45.00  sec   509 KBytes  4.18 Mbits/sec    0   32.5 KBytes       
[  5]  45.00-46.00  sec   382 KBytes  3.13 Mbits/sec    0   32.5 KBytes       
[  5]  46.00-47.00  sec   382 KBytes  3.12 Mbits/sec    0   32.5 KBytes       
[  5]  47.00-48.00  sec   509 KBytes  4.18 Mbits/sec    0   32.5 KBytes       
[  5]  48.00-49.00  sec   382 KBytes  3.12 Mbits/sec    0   32.5 KBytes       
[  5]  49.00-50.00  sec   509 KBytes  4.18 Mbits/sec    0   32.5 KBytes       
[  5]  50.00-51.00  sec   382 KBytes  3.13 Mbits/sec    0   32.5 KBytes       
[  5]  51.00-52.00  sec   382 KBytes  3.12 Mbits/sec    0   32.5 KBytes       
[  5]  52.00-53.00  sec   509 KBytes  4.18 Mbits/sec    0   32.5 KBytes       
[  5]  53.00-54.00  sec   382 KBytes  3.13 Mbits/sec    0   32.5 KBytes       
[  5]  54.00-55.00  sec   382 KBytes  3.13 Mbits/sec    0   32.5 KBytes       
[  5]  55.00-56.00  sec   509 KBytes  4.17 Mbits/sec    0   32.5 KBytes       
[  5]  56.00-57.00  sec   382 KBytes  3.13 Mbits/sec    0   32.5 KBytes       
[  5]  57.00-58.00  sec   382 KBytes  3.13 Mbits/sec    0   32.5 KBytes       
[  5]  58.00-59.00  sec   509 KBytes  4.17 Mbits/sec    0   32.5 KBytes       
[  5]  59.00-60.00  sec   636 KBytes  5.21 Mbits/sec    0   32.5 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  25.9 MBytes  3.63 Mbits/sec    2             sender
[  5]   0.00-76.92  sec  25.7 MBytes  2.80 Mbits/sec                  receiver

iperf Done.
